"file","group","year","parsed"
"data/input/awards/0000039.xml",8,2000-01-01,1
"data/input/awards/0000096.xml",8,2000-01-05,1
"data/input/awards/0000145.xml",8,2000-01-06,1
"data/input/awards/0000177.xml",8,2000-01-05,1
"data/input/awards/0000187.xml",8,NA,NA
"data/input/awards/0000209.xml",8,NA,NA
"data/input/awards/0000237.xml",8,NA,NA
"data/input/awards/0000256.xml",8,NA,NA
"data/input/awards/0000272.xml",8,2000-01-10,1
"data/input/awards/0000288.xml",8,NA,NA
"data/input/awards/0000310.xml",8,2000-01-06,1
"data/input/awards/0000338.xml",8,2000-01-05,1
"data/input/awards/0000361.xml",8,2000-01-09,1
"data/input/awards/0000385.xml",8,2000-01-01,1
"data/input/awards/0000407.xml",8,2000-01-04,1
"data/input/awards/0000428.xml",8,2000-01-06,1
"data/input/awards/0000458.xml",8,NA,NA
"data/input/awards/0000483.xml",8,2000-01-07,1
"data/input/awards/0000515.xml",8,NA,NA
"data/input/awards/0000541.xml",8,2000-01-09,1
"data/input/awards/0000563.xml",8,2000-01-09,1
"data/input/awards/0000581.xml",8,NA,NA
"data/input/awards/0000607.xml",8,2000-01-07,1
"data/input/awards/0000630.xml",8,NA,NA
"data/input/awards/0000713.xml",8,2000-01-03,1
"data/input/awards/0000733.xml",8,2000-01-01,1
"data/input/awards/0000798.xml",8,2000-01-09,1
"data/input/awards/0000893.xml",8,NA,NA
"data/input/awards/0000911.xml",8,NA,NA
"data/input/awards/0000944.xml",8,NA,NA
"data/input/awards/0000958.xml",8,NA,NA
"data/input/awards/0000984.xml",8,2000-01-07,1
"data/input/awards/0001004.xml",8,NA,NA
"data/input/awards/0001031.xml",8,2000-01-07,1
"data/input/awards/0001046.xml",8,2000-01-07,1
"data/input/awards/0001081.xml",8,2000-01-07,1
"data/input/awards/0001096.xml",8,2000-01-07,1
"data/input/awards/0001125.xml",8,2000-01-09,1
"data/input/awards/0001137.xml",8,2000-01-07,1
"data/input/awards/0001154.xml",8,2000-01-07,1
"data/input/awards/0001194.xml",8,2000-01-08,1
"data/input/awards/0001227.xml",8,2000-01-08,1
"data/input/awards/0001248.xml",8,NA,NA
"data/input/awards/0001272.xml",8,2000-01-07,1
"data/input/awards/0001299.xml",8,2000-01-08,1
"data/input/awards/0001322.xml",8,2000-01-08,1
"data/input/awards/0001337.xml",8,NA,NA
"data/input/awards/0001371.xml",8,NA,NA
"data/input/awards/0001392.xml",8,2000-01-02,1
"data/input/awards/0001424.xml",8,NA,NA
"data/input/awards/0001444.xml",8,2000-01-07,1
"data/input/awards/0001476.xml",8,NA,NA
"data/input/awards/0001514.xml",8,2000-01-06,1
"data/input/awards/0001541.xml",8,NA,NA
"data/input/awards/0001571.xml",8,2000-01-10,1
"data/input/awards/0001617.xml",8,NA,NA
"data/input/awards/0001644.xml",8,NA,NA
"data/input/awards/0001676.xml",8,2000-01-10,1
"data/input/awards/0001697.xml",8,NA,NA
"data/input/awards/0001716.xml",8,2000-01-07,1
"data/input/awards/0001738.xml",8,2000-01-08,1
"data/input/awards/0001769.xml",8,NA,NA
"data/input/awards/0001796.xml",8,2000-01-04,1
"data/input/awards/0001811.xml",8,NA,NA
"data/input/awards/0001862.xml",8,NA,NA
"data/input/awards/0001886.xml",8,2000-01-06,1
"data/input/awards/0001901.xml",8,2000-01-12,1
"data/input/awards/0001924.xml",8,2000-01-09,1
"data/input/awards/0001945.xml",8,2000-01-08,1
"data/input/awards/0001963.xml",8,2000-01-08,1
"data/input/awards/0001979.xml",8,2000-01-07,1
"data/input/awards/0002002.xml",8,NA,NA
"data/input/awards/0002023.xml",8,NA,NA
"data/input/awards/0002051.xml",8,NA,NA
"data/input/awards/0002075.xml",8,2001-01-02,1
"data/input/awards/0002110.xml",8,NA,NA
"data/input/awards/0002136.xml",8,NA,NA
"data/input/awards/0002174.xml",8,NA,NA
"data/input/awards/0002197.xml",8,NA,NA
"data/input/awards/0002213.xml",8,2000-01-07,1
"data/input/awards/0002230.xml",8,NA,NA
"data/input/awards/0002252.xml",8,2000-01-08,1
"data/input/awards/0002280.xml",8,2000-01-08,1
"data/input/awards/0002305.xml",8,NA,NA
"data/input/awards/0002334.xml",8,2000-01-08,1
"data/input/awards/0002356.xml",8,2000-01-10,1
"data/input/awards/0002375.xml",8,NA,NA
"data/input/awards/0002409.xml",8,NA,NA
"data/input/awards/0002450.xml",8,NA,NA
"data/input/awards/0002471.xml",8,2000-01-07,1
"data/input/awards/0002498.xml",8,NA,NA
"data/input/awards/0002534.xml",8,2000-01-07,1
"data/input/awards/0002563.xml",8,2000-01-12,1
"data/input/awards/0002598.xml",8,2000-01-09,1
"data/input/awards/0002622.xml",8,2000-01-07,1
"data/input/awards/0002647.xml",8,2000-01-08,1
"data/input/awards/0002664.xml",8,NA,NA
"data/input/awards/0002684.xml",8,2000-01-07,1
"data/input/awards/0002713.xml",8,2000-01-05,1
"data/input/awards/0002735.xml",8,2001-01-01,1
"data/input/awards/0002758.xml",8,2000-01-09,1
"data/input/awards/0002800.xml",8,2000-01-10,1
"data/input/awards/0002824.xml",8,2000-01-06,1
"data/input/awards/0002854.xml",8,NA,NA
"data/input/awards/0002885.xml",8,NA,NA
"data/input/awards/0002912.xml",8,2001-01-01,1
"data/input/awards/0002937.xml",8,NA,NA
"data/input/awards/0002972.xml",8,NA,NA
"data/input/awards/0003004.xml",8,2000-01-06,1
"data/input/awards/0003020.xml",8,NA,NA
"data/input/awards/0003039.xml",8,2000-01-12,1
"data/input/awards/0003063.xml",8,2000-01-09,1
"data/input/awards/0003079.xml",8,2000-01-10,1
"data/input/awards/0003105.xml",8,2000-01-10,1
"data/input/awards/0003136.xml",8,2000-01-12,1
"data/input/awards/0003153.xml",8,2000-01-09,1
"data/input/awards/0003174.xml",8,NA,NA
"data/input/awards/0003193.xml",8,2000-01-07,1
"data/input/awards/0003219.xml",8,NA,NA
"data/input/awards/0003240.xml",8,2000-01-08,1
"data/input/awards/0003259.xml",8,2000-01-06,1
"data/input/awards/0003276.xml",8,2001-01-08,1
"data/input/awards/0003299.xml",8,2000-01-09,1
"data/input/awards/0003342.xml",8,NA,NA
"data/input/awards/0003360.xml",8,2001-01-05,1
"data/input/awards/0003389.xml",8,2000-01-08,1
"data/input/awards/0003411.xml",8,2001-01-04,1
"data/input/awards/0003437.xml",8,2001-01-02,1
"data/input/awards/0003459.xml",8,2001-01-05,1
"data/input/awards/0003490.xml",8,2001-01-02,1
"data/input/awards/0003519.xml",8,NA,NA
"data/input/awards/0003539.xml",8,2001-01-05,1
"data/input/awards/0003558.xml",8,NA,NA
"data/input/awards/0003577.xml",8,2001-01-05,1
"data/input/awards/0003604.xml",8,2001-01-04,1
"data/input/awards/0003620.xml",8,2001-01-05,1
"data/input/awards/0003639.xml",8,2001-01-06,1
"data/input/awards/0003673.xml",8,2001-01-09,1
"data/input/awards/0003693.xml",8,NA,NA
"data/input/awards/0003711.xml",8,2001-01-04,1
"data/input/awards/0003729.xml",8,2001-01-06,1
"data/input/awards/0003741.xml",8,2000-01-08,1
"data/input/awards/0003774.xml",8,2001-01-04,1
"data/input/awards/0003792.xml",8,2001-01-07,1
"data/input/awards/0003819.xml",8,2001-01-04,1
"data/input/awards/0003836.xml",8,2000-01-07,1
"data/input/awards/0003858.xml",8,2000-01-07,1
"data/input/awards/0003877.xml",8,NA,NA
"data/input/awards/0003894.xml",8,2000-01-07,1
"data/input/awards/0003927.xml",8,2001-01-05,1
"data/input/awards/0003947.xml",8,NA,NA
"data/input/awards/0003972.xml",8,2001-01-02,1
"data/input/awards/0003996.xml",8,2001-01-01,1
"data/input/awards/0004046.xml",8,2000-01-08,1
"data/input/awards/0004069.xml",8,NA,NA
"data/input/awards/0004097.xml",8,2001-01-08,1
"data/input/awards/0004119.xml",8,2000-08-08,1
"data/input/awards/0004131.xml",8,NA,NA
"data/input/awards/0004146.xml",8,2000-01-10,1
"data/input/awards/0004162.xml",8,1999-01-10,NA
"data/input/awards/0004193.xml",8,2001-01-05,1
"data/input/awards/0004218.xml",8,2001-01-03,1
"data/input/awards/0004236.xml",8,2000-01-09,1
"data/input/awards/0004253.xml",8,NA,NA
"data/input/awards/0004269.xml",8,2000-01-09,1
"data/input/awards/0004284.xml",8,2001-01-03,1
"data/input/awards/0004322.xml",8,2001-01-09,1
"data/input/awards/0004336.xml",8,2001-01-07,1
"data/input/awards/0004375.xml",8,2001-01-08,1
"data/input/awards/0004400.xml",8,2001-01-01,1
"data/input/awards/0004431.xml",8,2000-01-10,1
"data/input/awards/0004458.xml",8,NA,NA
"data/input/awards/0004488.xml",8,2001-01-03,1
"data/input/awards/0004526.xml",8,2001-01-09,1
"data/input/awards/0004547.xml",8,2001-01-05,1
"data/input/awards/0010047.xml",8,2001-01-06,1
"data/input/awards/0010091.xml",8,NA,NA
"data/input/awards/0010117.xml",8,2001-01-05,1
"data/input/awards/0040863.xml",8,NA,NA
"data/input/awards/0049007.xml",8,2000-01-07,1
"data/input/awards/0049017.xml",8,2000-01-07,1
"data/input/awards/0049028.xml",8,NA,NA
"data/input/awards/0049038.xml",8,2000-01-09,1
"data/input/awards/0049048.xml",8,NA,NA
"data/input/awards/0049059.xml",8,NA,NA
"data/input/awards/0049069.xml",8,2000-01-06,1
"data/input/awards/0049079.xml",8,2000-01-09,1
"data/input/awards/0049089.xml",8,2000-01-07,1
"data/input/awards/0053247.xml",8,2000-01-10,1
"data/input/awards/0053279.xml",8,2000-01-05,1
"data/input/awards/0053296.xml",8,2000-01-06,1
"data/input/awards/0060046.xml",8,2001-01-01,1
"data/input/awards/0060115.xml",8,2001-01-01,1
"data/input/awards/0060201.xml",8,2001-01-01,1
"data/input/awards/0060255.xml",8,2001-01-01,1
"data/input/awards/0060298.xml",8,2001-01-01,1
"data/input/awards/0060342.xml",8,2001-01-01,1
"data/input/awards/0060397.xml",8,2001-01-01,1
"data/input/awards/0060457.xml",8,2001-01-01,1
"data/input/awards/0060510.xml",8,2001-01-01,1
"data/input/awards/0060540.xml",8,2001-01-01,1
"data/input/awards/0060607.xml",8,2001-01-01,1
